Pin Designator,Net Name
1,ctrl_i_segment[23]
2,VSS
3,ctrl_i_segment[22]
4,VSS
5,ctrl_i_segment[21]
6,VSS
7,ctrl_i_segment[18]
8,VSS
9,ctrl_i_segment[20]
10,VSS
11,ctrl_i_segment[19]
12,VSS
13,ctrl_i_segment[17]
14,VSS
15,ctrl_i_segment[16]
16,VSS
17,ctrl_i_segment[15]
18,VSS
19,ctrl_i_segment[14]
20,VSS
21,ctrl_i_segment[13]
22,VSS
23,ctrl_i_segment[12]
24,VSS
25,ctrl_i_segment[11]
26,VSS
27,ctrl_i_segment[10]
28,VSS
29,ctrl_i_segment[9]
30,RESERVED
31,ctrl_i_segment[8]
32,VSS
33,RESERVED
34,VSS
35,ctrl_i_segment[24]
36,VSS
37,ctrl_i_segment[25]
38,VSS
39,ctrl_i_segment[26]
40,VSS
41,ctrl_i_segment[27]
42,VSS
43,ctrl_i_segment[28]
44,VSS
45,ctrl_i_segment[29]
46,VSS
47,ctrl_i_segment[30]
48,VSS
49,ctrl_i_segment[31]
50,VSS
51,ctrl_i_segment[0]
52,VSS
53,ctrl_i_segment[1]
54,VSS
55,ctrl_i_segment[2]
56,VSS
57,ctrl_i_segment[3]
58,VSS
59,ctrl_i_segment[4]
60,RESERVED
61,ctrl_i_segment[5]
62,VSS
63,ctrl_i_segment[6]
64,VSS
65,ctrl_i_segment[7]
66,VSS
67,RESERVED
68,VSS
