Pin Designator,Net Name
1,ctrl_i_segment[67]
2,VSS
3,ctrl_i_segment[66]
4,VSS
5,ctrl_i_segment[65]
6,VSS
7,ctrl_i_segment[64]
8,VSS
9,ctrl_i_segment[63]
10,VSS
11,ctrl_i_segment[62]
12,VSS
13,ctrl_i_segment[61]
14,VSS
15,ctrl_i_segment[60]
16,VSS
17,ctrl_i_segment[59]
18,VSS
19,ctrl_i_segment[57]
20,VSS
21,ctrl_i_segment[58]
22,VSS
23,ctrl_i_segment[56]
24,VSS
25,ctrl_i_segment[55]
26,VSS
27,ctrl_i_segment[54]
28,VSS
29,ctrl_i_segment[53]
30,RESERVED
31,ctrl_i_segment[52]
32,VSS
33,RESERVED
34,VSS
35,ctrl_i_segment[68]
36,VSS
37,ctrl_i_segment[69]
38,VSS
39,ctrl_i_segment[70]
40,VSS
41,ctrl_i_segment[71]
42,VSS
43,ctrl_i_segment[72]
44,VSS
45,ctrl_i_segment[73]
46,VSS
47,ctrl_i_segment[50]
48,VSS
49,ctrl_i_segment[51]
50,VSS
51,
52,VSS
53,
54,VSS
55,
56,VSS
57,VDD
58,VSS
59,ctrl_i_segment[46]
60,RESERVED
61,ctrl_i_segment[47]
62,VSS
63,ctrl_i_segment[48]
64,VSS
65,ctrl_i_segment[49]
66,VSS
67,RESERVED
68,VSS
